epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,690.006,0.99087,1.79179,1.33254,0.70146,0.62598,0.6835,0.33735,2.01283,4.4268,2.44431,0.00034165,0.00034165,0.00034165
135,695.06,0.96681,1.78753,1.32906,0.60144,0.64249,0.64339,0.31891,2.0071,4.75419,2.43508,0.0003367,0.0003367,0.0003367
136,700.404,0.94571,1.72818,1.31027,0.6327,0.67177,0.67347,0.33038,2.01467,4.50861,2.418,0.00033175,0.00033175,0.00033175
137,705.485,0.97118,1.75207,1.338,0.71351,0.66572,0.70892,0.35604,1.93683,4.1126,2.36059,0.0003268,0.0003268,0.0003268
138,710.522,0.97821,1.75167,1.33144,0.66593,0.65282,0.68343,0.34959,1.96431,4.72949,2.35178,0.00032185,0.00032185,0.00032185
139,715.59,0.96951,1.72959,1.3236,0.69829,0.65258,0.69522,0.35914,1.97637,4.5038,2.36477,0.0003169,0.0003169,0.0003169
140,720.627,0.94138,1.71647,1.29887,0.70184,0.60559,0.67668,0.33519,2.03065,4.69361,2.4236,0.00031195,0.00031195,0.00031195
141,725.706,0.93832,1.6949,1.30693,0.65542,0.63164,0.64855,0.30178,2.08842,4.39531,2.54398,0.000307,0.000307,0.000307
142,730.76,0.94686,1.7313,1.30991,0.659,0.59938,0.63695,0.32529,2.09464,4.91733,2.5309,0.00030205,0.00030205,0.00030205
143,735.837,0.94194,1.72748,1.30366,0.67762,0.6611,0.68047,0.34334,1.96448,4.36429,2.40005,0.0002971,0.0002971,0.0002971
144,740.897,0.9246,1.68749,1.289,0.67653,0.64491,0.68569,0.34142,1.97381,4.63033,2.399,0.00029215,0.00029215,0.00029215
145,745.962,0.93192,1.69793,1.28963,0.72697,0.60759,0.6874,0.35278,1.97216,4.7609,2.39738,0.0002872,0.0002872,0.0002872
146,750.975,0.9311,1.67745,1.2906,0.68288,0.67006,0.70167,0.35517,1.97329,4.33505,2.42036,0.00028225,0.00028225,0.00028225
147,756.03,0.91467,1.63563,1.27788,0.67723,0.65487,0.68629,0.3481,2.05396,4.57245,2.47887,0.0002773,0.0002773,0.0002773
148,761.078,0.92903,1.67831,1.28852,0.7241,0.62054,0.68842,0.34295,2.04756,4.61446,2.50918,0.00027235,0.00027235,0.00027235
149,766.15,0.91737,1.65414,1.28172,0.68045,0.65725,0.69787,0.34948,2.00259,4.75703,2.39134,0.0002674,0.0002674,0.0002674
150,771.18,0.90321,1.64743,1.2723,0.68623,0.65619,0.68287,0.33072,2.09502,4.51723,2.53106,0.00026245,0.00026245,0.00026245
151,776.243,0.90507,1.65707,1.27493,0.75279,0.63736,0.7154,0.35994,1.97081,4.13743,2.38196,0.0002575,0.0002575,0.0002575
152,781.292,0.90552,1.63348,1.28058,0.70191,0.6445,0.69361,0.3441,1.99284,4.61274,2.40228,0.00025255,0.00025255,0.00025255
153,786.35,0.91685,1.66246,1.28767,0.69449,0.65994,0.69356,0.33558,2.01324,4.242,2.45142,0.0002476,0.0002476,0.0002476
154,791.38,0.89671,1.60168,1.27472,0.70678,0.61547,0.6765,0.33385,2.03116,4.59936,2.4553,0.00024265,0.00024265,0.00024265
155,796.444,0.89141,1.60938,1.26981,0.679,0.6177,0.67877,0.34017,2.06872,5.002,2.48705,0.0002377,0.0002377,0.0002377
156,801.465,0.89908,1.59942,1.26304,0.63914,0.65464,0.66923,0.3356,2.06748,4.49977,2.49875,0.00023275,0.00023275,0.00023275
157,806.535,0.89178,1.60805,1.25827,0.68137,0.68124,0.69457,0.33894,2.02877,4.32822,2.47959,0.0002278,0.0002278,0.0002278
158,811.849,0.88111,1.58973,1.26529,0.67141,0.67847,0.70311,0.35261,2.00695,4.61493,2.47776,0.00022285,0.00022285,0.00022285
159,816.83,0.87728,1.57585,1.26296,0.73334,0.64603,0.71343,0.36125,1.98789,4.32238,2.48488,0.0002179,0.0002179,0.0002179
